id,type,route,img,page,data
814,route-heading,122,60,182,Altro camino per Finale
818,route-heading,123,60,182,Da Milano a Saona
822,route-heading,124,60,182,Poste da Milano a Genova per Alessandria
831,route-heading,125,61,183,Poste da Milano à Udine
844,route-heading,126,62,184,Poste da Milano à Gratz
853,route-heading,127,63,185,Poste da Milano a Goritia
856,route-heading,128,63,185,Poste da Milano à Lubiana
859,route-heading,129,63,185,Poste da Milano a Gratz per altra via
863,route-heading,130,63,185,Poste da Venetia a Goritia
871,route-heading,131,64,186,Poste da Milano à Vienna d'Austria
875,route-heading,132,64,186,Poste da Milano à Vienna per Venetia
879,route-heading,133,64,186,Poste da Milano à Augu sta e Colonia
887,route-heading,134,65,187,Poste da Milano à Colonia per altra via
891,route-heading,135,65,187,Poste da Milano à Augusta per Lindo è Coira
892,route-heading,136,65,187,Milano Città a Barlassina a Como Città Imbarcatevi nel la go fino à Gerra
897,route-heading,137,65,187,"Poste da Milano à Augusta per altra via, senza passare per li stati de Sign Venctiani, e Grigioni"
906,route-heading,138,66,188,Poste da Milano a Dresden Corte di Saxonia
910,route-heading,139,66,188,Poste da Milano à Cracovia Corte del Rè di Polonia
915,route-heading,140,66,188,Poste da Milano à Londra d'Inghilterra
918,route-heading,141,66,188,Poste da Milano à Monaco corte di Baviera
928,route-heading,142,67,189,Poste da Milano a Paris per la via più breve e frequente
932,route-heading,143,67,189,Poste da Milano a Paris per altra via
936,route-heading,144,67,189,Poste da Milano à Londra per altra via
944,route-heading,145,68,190,Poste da Milano à Costantinopoli
949,route-heading,146,68,190,Altrocamino
958,route-heading,147,69,191,Poste da Milano a San Iacomo di Galitia
973,route-heading,148,70,192,Poste da Milano à Inspruch per la via di Trento
976,route-heading,149,70,192,Altro camino da Milano à San Giacomo di Galitia
980,route-heading,150,71,193,"Poste da Milano à Inspruch per Como, e Chiavenna"
983,route-heading,151,71,193,Poste da Milano à Turino per Alessandria
989,route-heading,152,71,193,Poste da Genova à Turino
993,route-heading,153,71,193,Poste da Milano à Casale Monferrato
1002,route-heading,154,72,194,Poste da Milano à Cuneo
1006,route-heading,155,72,194,Poste da Milano à Graneble
1012,route-heading,156,72,194,Poste da Milano à Lione per Granoble
1021,route-heading,157,73,195,Poste da Milano à Lione per il Monte Sempione
1024,route-heading,158,73,195,Poste da Milano à Paris per detto Sempione
1028,route-heading,159,73,195,Poste da Milano à Francoforte
1037,route-heading,160,74,196,Poste da Milano à Magonza
1038,route-heading,161,74,196,Guardate nel sudetto viaggio ꝑ Francoforte che sono
1040,route-heading,162,74,196,Poste da Milano à Strazburgo
1047,route-heading,163,74,196,"Poste da Milano à Paris per la via di Borgogna, ma non vi sono le poste seguenti"
1054,route-heading,164,75,197,Poste da Milano à Mantua per Bressa
1058,route-heading,165,75,197,Poste de Milano a Palermo
1062,route-heading,166,75,197,Poste da Milano à Colenia per Lucerna
1066,route-heading,167,75,197,Poste da Milane à Ensischein
1070,route-heading,168,75,197,Poste da Milano à Pescava nell'Abruzzo
1082,route-heading,169,76,198,Poste da Parma à Cremona
1085,route-heading,170,76,198,Poste da Milano à Sondra nella Valtelina a Inspruch
1090,route-heading,171,76,198,Poste da Roma à Praga
1111,route-heading,172,79,201,Poste da Roma à Augusta
1114,route-heading,173,79,201,Poste da Roma à Inspruch
1117,route-heading,174,79,201,Poste da Milano à Menaco di Baviera
1121,route-heading,175,79,201,Poste da Roma à Bruseles
1126,route-heading,176,79,201,Poste da Roma à Colonia
1130,route-heading,177,79,201,Poste da Roma à Londra d'Inghilterra
1139,route-heading,178,80,202,Poste da Roma à Londra per Milano
1143,route-heading,179,80,202,Poste da Roma à Londra per Paris
1149,route-heading,180,80,202,Poste da Roma à Madrid
1151,route-heading,181,80,202,Poste da Roma à Paris
1156,route-heading,182,81,203,Da Napoli à Madrid
1161,route-heading,183,81,203,Poste da Napoli à Praga
1165,route-heading,184,81,203,Poste da Napoli à Bruseles
1169,route-heading,185,81,203,Poste da Napoli à Bruseles
1176,route-heading,186,82,204,Poste da Napoli a Paris
1181,route-heading,187,82,204,"Poste da Roma à Madrid senza toccare Genoua, Turino, Sauoia, nè Milano"
1192,route-heading,188,83,205,Poste da Bressa à Coira
1194,route-heading,189,83,205,Poste da Coira à Bada
1199,route-heading,190,83,205,Poste da Turino à Cuneo
1203,route-heading,191,83,205,Poste da Turino à Nissi di Sauota
1212,route-heading,192,84,206,Poste da Monloello à Cramberi
1216,route-heading,193,84,206,Poste da Venetia à Trento
1221,route-heading,194,84,206,Poste da Venetia à Praga
1228,route-heading,195,85,207,Poste da Venetia à Dresden Corte di Sassonia
1232,route-heading,196,85,207,Poste da Venetia à Paris
1238,route-heading,197,85,207,"Altro per Paris, Bressa, Coira, e Basilea per traversi"
1242,route-heading,198,85,207,Poste da Venetia à Madrid
1249,route-heading,199,86,208,Poste da Venetia à Chianenna
1253,route-heading,200,86,208,Poste da Venetia à Vienna
1264,route-heading,201,87,209,Poste da Venetia à Vienna per la via ordina¬
1273,route-heading,202,88,210,Poste da Venetia à Gratz
1276,route-heading,203,88,210,Poste da Venetia a Inspruch
1279,route-heading,204,88,210,Poste da Venetia & Salzburgo
1282,route-heading,205,88,210,Poste da Venetia à Bolzan
1285,route-heading,206,88,210,Poste da Venetia à Lubiana
1288,route-heading,207,88,210,Poste da Venetia à Goritia
1291,route-heading,208,88,210,Poste da Venetia à Villach
1300,route-heading,209,89,211,Poste da Venetia à Bruseles
1304,route-heading,210,89,211,Poste da Venetia à Londra
1308,route-heading,211,89,211,Poste da Venetia à Chiavenna per Bergamo
1317,route-heading,212,90,212,Boste da Bergamo à Vercelli
1321,route-heading,213,90,212,"Poste da Venetia à Costan tinopoli per Roma, et Otranto"
1327,route-heading,214,90,212,Poste da Venetia à Costantinopoli
1333,route-heading,215,91,213,Poste da Praga à Vienna Praga Città & Cor
1339,route-heading,216,91,213,Poste da Vienna à Buda
1343,route-heading,217,91,213,Poste da Vienna à Gratz
1349,route-heading,218,92,214,Poste da Vienna à Preszlauu
1353,route-heading,219,92,214,Poste da Vienna à Olmiz nella Moravia Guardate nel sudet
1356,route-heading,220,92,214,Poste da Vienna à Cracouia
1365,route-heading,221,93,215,Poste da Vienna à Visca
1367,route-heading,222,93,215,Poste da Vienna à Madrid per Milano
1371,route-heading,223,93,215,Poste da Vienna à Madrid per Inspruch
1379,route-heading,224,94,216,Poste da Vienna à Paris
1383,route-heading,225,94,216,Poste da Vienna à Madrid per Paris
1386,route-heading,226,94,216,Poste da Prezlauu à Cracouia di Polonia
1392,route-heading,227,94,216,Poste da Preszlaw à Danfica
1401,route-heading,228,95,217,Poste da Prezlaw à Naumburg
1403,route-heading,229,95,217,Poste da Prezlau a Bosen
1409,route-heading,230,95,217,Poste da Praga à Naumburgo
1412,route-heading,231,95,217,Poste da Praga à Dansica
1416,route-heading,232,95,217,Poste da Dansica à Naumburg
1421,route-heading,233,96,218,Poste da Dansica à Naumburg
1424,route-heading,234,96,218,Poste da Dansica à Glogaw
1427,route-heading,235,96,218,Poste da Praga à Inspruch
1436,route-heading,236,97,219,Poste da Praga à Madrid
1442,route-heading,237,97,219,Poste da Praga à Lione
1444,route-heading,238,97,219,Poste da Bada a Lione
1446,route-heading,239,97,219,Poste d a Praga à Losana
1448,route-heading,240,97,219,Poste da Praga à Bada
1454,route-heading,241,98,220,Poste da Praga à Bruseles
1462,route-heading,242,99,221,Poste da Bruseles à Augusta
1465,route-heading,243,99,221,Poste da Augusta à Reijnausen
1469,route-heading,244,99,221,Poste da Praga à Madrid per Paris
1474,route-heading,245,99,221,Poste da Linz à Vienna
1478,route-heading,246,99,221,Poste da Dansica à Steting nella Pomerania
1486,route-heading,247,100,222,Poste da Salzburgo à Inspruch fuori delle Poste
1490,route-heading,248,100,222,Poste d'Inspruch a Squartz
1494,route-heading,249,100,222,Poste da Costanza à Inspruch
